,代號,名稱,股東權益(億),每股淨值(元)
703,6432,今展科,7.9,25.83
704,3030,德律,61,25.81
705,5471,松翰,43.3,25.8
706,2069,運錩,42.6,25.78
707,1323,永裕,27.3,25.76
708,6234,高僑,25.8,25.7
709,6128,上福,32.7,25.67
710,6115,鎰勝,48.5,25.66
711,2324,仁寶,1215.0,25.56
712,3516,亞帝歐,13,25.49
713,3624,光頡,30,25.48
714,6212,理銘,26,25.46
715,4909,新復興,23.8,25.45
716,2388,威盛,141,25.42
717,6111,大宇資,21.4,25.41
718,6655,科定,17.8,25.41
719,5209,新鼎,6.97,25.31
720,1341,富林-KY,12.7,25.25
721,2929,淘帝-KY,27.5,25.23
722,4171,瑞基,10.9,25.12
723,3426,台興,6.63,25.1
724,2484,希華,40,25.08
725,5439,高技,23.3,25.08
726,3090,日電貿,48.8,25.05
727,2236,百達-KY,12.3,25.03
728,3465,進泰電子,8.09,25.03
729,2852,第一保,75.3,24.99
730,1210,大成,277,24.96
731,2105,正新,815,24.96
732,2702,華園,27.6,24.96
733,1533,車王電,28.9,24.91
734,6210,慶生,8.73,24.91
735,5230,雷笛克光學,11.7,24.87
736,4116,明基醫,16.3,24.8
737,3028,增你強,52.9,24.75
738,1612,宏泰,78.2,24.73
739,6197,佳必琪,31,24.72
740,1817,凱撒衛,18,24.69
741,3373,熱映,10.7,24.67
742,4560,強信-KY,16.8,24.67
743,3346,麗清,23.8,24.66
744,1439,中和,22.7,24.64
745,2605,新興,159,24.64
746,3310,佳穎,12.4,24.61
747,1904,正隆,284,24.59
748,9911,櫻花,54.4,24.59
749,5487,通泰,5.89,24.58
750,3705,永信,67.9,24.55
751,2480,敦陽科,26.1,24.5
752,4564,元翎,44.7,24.48
753,9905,大華,77.4,24.46
754,3078,僑威,55.6,24.44
755,5013,強新,42.8,24.42
756,8358,金居,61.7,24.42
757,1513,中興電,116,24.39
758,4173,久裕,18.2,24.38
759,8354,冠好,19.1,24.32
760,3666,光耀,13.7,24.31
761,1720,生達,68,24.3
762,2505,國揚,92.6,24.29
763,6237,驊訊,18.8,24.27
764,1708,東鹼,60.3,24.23
765,2409,友達,2380.0,24.22
766,2303,聯電,3023.0,24.19
767,2886,兆豐金,3284.0,24.15
768,5291,邑昇,9.47,24.14
769,9908,大台北,134,24.14
770,6477,安集,27.6,24.12
771,3163,波若威,18.1,24.1
772,2613,中櫃,32.8,23.99
773,6189,豐藝,50.1,23.99
774,8435,鉅邁,7.6,23.96
775,2328,廣宇,141,23.94
776,8027,鈦昇,24.3,23.92
